year,sig05,sig095,sig105,sig15,sig2,sig25,sig3,sig35,sig4,sig45,sig5
2087,9.76692409872964,9.053661153964,6.82056373928618,4.37487018244721,3.67657462343228,3.04273230912279,2.48386489349094,2.00358405516659,1.59985477950913,1.26672879802935,0.996051529643846
2088,9.71621747505072,9.00662800061105,6.78512038563514,4.35207419910827,3.65735128060106,3.02676090690576,2.47077127689979,1.99297426864982,1.59134295414111,1.2599568785849,0.990700790572982
2089,9.66399563738513,8.95819337677889,6.74862243149028,4.32860825081408,3.63757180208762,3.01033575075206,2.45731308416715,1.98207542687752,1.58260451010256,1.25300893471617,0.985214357555517
2090,9.61023396437297,8.90833416574748,6.71105235134695,4.30446048250125,3.61722557022113,2.99344743525559,2.44348208234609,1.97088041037636,1.57363336326791,1.24587982429972,0.979587927958612
2091,9.55490883470918,8.85702820604917,6.67239334954017,4.27961956605981,3.59630247322427,2.97608703326019,2.42927048244373,1.95938250400042,1.56442379098744,1.2385647228931,0.973817474107584
2092,9.49799774999274,8.80425440264424,6.63262944303893,4.25407474782172,3.57479293908222,2.95824611817154,2.41467095248242,1.9475754030063,1.55497043319918,1.23105912155826,0.967899239122686
2093,9.4394794610764,8.74999284159771,6.59174554696791,4.2278158983304,3.55268797190243,2.9399167888758,2.39967663318256,1.9354532216731,1.5452682959352,1.2233588268792,0.961829734721855
2094,9.37933409759145,8.69422490793135,6.54972756260272,4.2008335641785,3.52997919053175,2.92109169701966,2.38428115601949,1.92301050422529,1.53531275699373,1.21545996296269,0.955605740799339
2095,9.31754330026168,8.63693340627155,6.50656246754513,4.17311902168004,3.50665886918518,2.9017640764012,2.36847866340653,1.91024223782081,1.525099573555,1.2073589752201,0.949224306599348
2096,9.25409035555912,8.57810268385788,6.46223840774403,4.14466433212138,3.48271997982674,2.88192777421439,2.35226383075564,1.89714386737011,1.51462489152494,1.19905263573505,0.942682753312094
2097,9.1889603321909,8.51771875542149,6.41674479098574,4.11546239831245,3.45815623602805,2.86157728388132,2.33563189016353,1.88371131195188,1.50388525639359,1.19053805002701,0.935978677925306
2098,9.12214021884307,8.45576942938428,6.37007238143474,4.08550702213546,3.43296213801352,2.84070777919653,2.31857865546662,1.86994098259076,1.49287762539767,1.18181266502448,0.929109958169129
2099,9.0536190625434,8.39224443477302,6.32221339476318,4.05479296276461,3.40713301858478,2.81931514949764,2.30110054840281,1.85582980116118,1.4815993807777,1.17287427806482,0.92207475839647
2100,8.98338810694178,8.32713554818474,6.27316159336451,4.02331599520525,3.38066508959867,2.79739603556412,2.28319462561104,1.84137522017721,1.47004834391905,1.16372104673804,0.914871536242651
2101,8.91144092974561,8.2604367200843,6.2229123811055,3.99107296877735,3.35355548865687,2.77494786593553,2.26485860619319,1.8265752432267,1.45822279016684,1.15435149939436,0.907499049911247
2102,8.83777357848764,8.19214419966089,6.17146289703003,3.95806186514439,3.32580232564698,2.75196889332781,2.24609089955521,1.81142844580224,1.44612146410176,1.1447645461342,0.899956365933436
2103,8.76238470374772,8.1222566574188,6.11881210739029,3.92428185546636,3.29740472875907,2.72845823081556,2.2268906332368,1.79593399627873,1.43374359506286,1.13495949009996,0.892242867249539
2104,8.68527568889773,8.0507753046313,6.06496089534555,3.88973335623531,3.26836288958643,2.70441588743728,2.20725768043306,1.78009167678278,1.42108891270178,1.12493603888838,0.884358261462165
2105,8.60645077539231,7.97770400874284,6.00991214763687,3.85441808333272,3.23867810690531,2.67984280287103,2.18719268690451,1.76390190369607,1.40815766235075,1.11469431590235,0.876302589110937
2106,8.5259171825873,7.90304940376907,5.95367083751868,3.81833910383237,3.20835282871667,2.65474088082005,2.16669709696702,1.74736574753144,1.39495061998595,1.10423487146038,0.86807623181933
2107,8.44368522103472,7.82682099471313,5.89624410320593,3.78150088505922,3.17739069212403,2.62911302074165,2.14577317825013,1.73048495191947,1.38146910656745,1.09355869348337,0.859679920165691
2108,8.35976839817832,7.74903125499531,5.83764132107862,3.74390934040567,3.14579656061491,2.6029631475486,2.12442404490919,1.71326195144206,1.36771500153708,1.08266721757873,0.851114741131438
2109,8.27418351535914,7.66969571587927,5.77787417287596,3.70557187140141,3.11357655831006,2.57629623891127,2.10265367897774,1.69569988805101,1.35369075525759,1.07156233634396,0.842382144981876
2110,8.18695075503494,7.58883304687418,5.71695670610951,3.66649740553211,3.08073810074573,2.54911834978993,2.08046694954821,1.67780262581191,1.33939940017882,1.06024640771482,0.83348395143748
2111,8.09809375712546,7.50646512609949,5.65490538693025,3.62669642930727,3.04728992175892,2.52143663383204,2.05786962947449,1.6595747637189,1.32484456052191,1.04872226218749,0.82442235499764
2112,8.00766550829077,7.42262043513523,5.59173441873493,3.5861351590776,3.01315757104278,2.49314604622866,2.03473703606218,1.64088222971227,1.30989128222536,1.03686039387792,0.815077480424847
